"","ds.pseudo.case4","powervec.two.step.case4","powervec.zero.imputed.case4"
"1",0.838224420510862,0.79,0.836
"2",4.53387646473581,0.998,0.988
"3",1.82135064080042,1,1
"4",4.52070710819675,0.992,0.986
"5",4.53416698751305,0.998,0.988
"6",4.52943659552247,0.994,0.986
"7",4.54362114754085,1,0.996
"8",0.837737674350033,0.826,0.848
"9",0.737391585760566,0.656,0.748
"10",4.53317379098388,0.998,0.998
"11",0.752569715352533,0.632,0.764
"12",4.53317379098388,0.998,0.998
"13",0.752569715352533,0.632,0.764
"14",4.53317379098388,0.998,0.998
"15",0.752569715352533,0.632,0.764
"16",4.53317379098388,0.998,0.998
"17",0.752569715352533,0.632,0.764
"18",4.53317379098388,0.998,0.998
"19",0.752569715352533,0.632,0.764
"20",4.53317379098388,0.998,0.998
