"","ds.pseudo.case2","powervec.two.step.case2","powervec.zero.imputed.case2"
"1",1.67505208774996,0.916,0.97
"2",0.605311294578704,0.282,0.422
"3",1.81565354739975,0.9,0.97
"4",1.39087499404608,0.99,0.992
"5",0.714436418264159,0.44,0.604
"6",0.605311294578704,0.282,0.422
"7",1.81565354739975,0.9,0.97
"8",1.39087499404608,0.99,0.992
"9",0.714436418264159,0.44,0.604
"10",0.605311294578704,0.282,0.422
"11",1.81565354739975,0.9,0.97
"12",1.39087499404608,0.99,0.992
"13",0.714436418264159,0.44,0.604
"14",0.605311294578704,0.282,0.422
"15",1.81565354739975,0.9,0.97
"16",1.39087499404608,0.99,0.992
"17",0.714436418264159,0.44,0.604
"18",0.605311294578704,0.282,0.422
"19",1.81565354739975,0.9,0.97
"20",1.39087499404608,0.99,0.992
